"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export","SD_E_imp","SD_C_imp","SD_E_src","SD_C_src","v_lnRR_check"
8,"王燕_2023","安徽滁州","小麦","单作","沼液/沼渣",20,"2023","Yes","Yes",2,"0-20","SOC","g·kg-1",13.18445475638051,NA,3,10.359628770301624,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",13.18445475638051,10.359628770301624,NA,NA,"0-20",0,20,10,"0-10","0_10",0.7950215820215797,0.6246847978400973,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
9,"余守保_2023","安徽芜湖","水稻","单作","畜禽粪肥",6,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",14.605568445475638,NA,3,14.147331786542924,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",14.605568445475638,14.147331786542924,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8807146253983008,0.8530829910033582,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
9,"余守保_2023","安徽芜湖","水稻","单作","畜禽粪肥",12,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",14.70417633410673,NA,3,14.147331786542924,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",14.70417633410673,14.147331786542924,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8866606733060733,0.8530829910033582,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
9,"余守保_2023","安徽芜湖","水稻","单作","畜禽粪肥",18,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",15.127610208816703,NA,3,14.147331786542924,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",15.127610208816703,14.147331786542924,NA,NA,"0-20",0,20,10,"0-10","0_10",0.9121937025570962,0.8530829910033582,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
9,"余守保_2023","安徽芜湖","水稻","单作","畜禽粪肥",24,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",15.208816705336426,NA,3,14.147331786542924,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",15.208816705336426,14.147331786542924,NA,NA,"0-20",0,20,10,"0-10","0_10",0.9170904478929088,0.8530829910033582,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
10,"李磊_2023","宁夏石嘴山","玉米","单作","畜禽粪肥",40,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",5.481438515081206,NA,3,4.9361948955916475,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",5.481438515081206,4.9361948955916475,NA,NA,"0-20",0,20,10,"0-10","0_10",0.33053031016735274,0.2976521629126108,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
10,"李磊_2023","宁夏石嘴山","玉米","单作","畜禽粪肥",60,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",5.255220417633411,NA,3,4.9361948955916475,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",5.255220417633411,4.9361948955916475,NA,NA,"0-20",0,20,10,"0-10","0_10",0.31688937673187473,0.2976521629126108,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
10,"李磊_2023","宁夏石嘴山","玉米","单作","畜禽粪肥",80,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",5.359628770301624,NA,3,4.9361948955916475,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",5.359628770301624,4.9361948955916475,NA,NA,"0-20",0,20,10,"0-10","0_10",0.3231851921636338,0.2976521629126108,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
10,"李磊_2023","宁夏石嘴山","玉米","单作","畜禽粪肥",100,"years_mean","Yes","Yes",2,"0-20","SOC","g·kg-1",5.040603248259861,NA,3,4.9361948955916475,NA,3,"Mean±value","Yes","SD缺失; SOC=SOM/1.724",5.040603248259861,4.9361948955916475,NA,NA,"0-20",0,20,10,"0-10","0_10",0.3039479783443699,0.2976521629126108,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
11,"李伟欣_2023","河北威县","小麦","单作","商品有机肥",50,"years_mean","Yes","Yes",5,"0-20","SOC","g·kg-1",5.516241299303944,NA,3,4.53016241299304,NA,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",5.516241299303944,4.53016241299304,NA,NA,"0-20",0,20,10,"0-10","0_10",0.3326289153112724,0.27316843623354764,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
