"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","MBC","mg·kg-1",241.03,13.8,3,217.63,23.54,3,"Mean±SD","No","SD缺失",241.03,217.63,13.8,23.54,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","MBC","mg·kg-1",149.07,25.35,3,217.63,23.54,3,"Mean±SD","No","SD缺失",149.07,217.63,25.35,23.54,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","MBC","mg·kg-1",121.79,33.53,3,217.63,23.54,3,"Mean±SD","No","SD缺失",121.79,217.63,33.53,23.54,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","ROC","g·kg-1",6.75,0.4,3,4.65,0.72,3,"Mean±SD","No","SD缺失",6.75,4.65,0.4,0.72,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","ROC","g·kg-1",7.97,1.35,3,4.65,0.72,3,"Mean±SD","No","SD缺失",7.97,4.65,1.35,0.72,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","ROC","g·kg-1",8.18,0.87,3,4.65,0.72,3,"Mean±SD","No","SD缺失",8.18,4.65,0.87,0.72,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","ROC","g·kg-1",6.73,0.65,3,4.65,0.72,3,"Mean±SD","No","SD缺失",6.73,4.65,0.65,0.72,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","ROC","g·kg-1",10.21,1.89,3,4.65,0.72,3,"Mean±SD","No","SD缺失",10.21,4.65,1.89,0.72,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","POC","g·kg-1",2.66,0.55,3,1.89,0.3,3,"Mean±SD","No","SD缺失",2.66,1.89,0.55,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","POC","g·kg-1",2.36,0.52,3,1.89,0.3,3,"Mean±SD","No","SD缺失",2.36,1.89,0.52,0.3,"0-20",0,20,10,"0-10","0_10"
