"StudyID","Author_Year","Indicator","Soil_layer","Soil_layer_export","Mean_E_std","Mean_C_std","n_E","n_C","SD_E_imp","SD_C_imp","yi","vi","sei","wi"
9,"余守保_2023","SOC","0-10","0_10",15.208816705336426,14.147331786542924,3,3,0.9170904478929088,0.8530829910033582,0.07234926610772476,0.0024240536592816807,0.049234679437178026,412.5321220390516
10,"李磊_2023","SOC","0-10","0_10",5.481438515081206,4.9361948955916475,3,3,0.33053031016735274,0.2976521629126108,0.10477279892036855,0.002424053659281681,0.04923467943717803,412.53212203905156
10,"李磊_2023","SOC","0-10","0_10",5.255220417633411,4.9361948955916475,3,3,0.31688937673187473,0.2976521629126108,0.06262717746960522,0.002424053659281681,0.04923467943717803,412.53212203905156
10,"李磊_2023","SOC","0-10","0_10",5.359628770301624,4.9361948955916475,3,3,0.3231851921636338,0.2976521629126108,0.08229994306830991,0.0024240536592816807,0.049234679437178026,412.5321220390516
10,"李磊_2023","SOC","0-10","0_10",5.040603248259861,4.9361948955916475,3,3,0.3039479783443699,0.2976521629126108,0.02093099669201775,0.002424053659281681,0.04923467943717803,412.53212203905156
11,"李伟欣_2023","SOC","0-10","0_10",5.516241299303944,4.53016241299304,3,3,0.3326289153112724,0.27316843623354764,0.19693891270570432,0.0024240536592816803,0.04923467943717802,412.5321220390517
11,"李伟欣_2023","SOC","0-10","0_10",6.4675174013921115,4.53016241299304,3,3,0.3899907892450776,0.27316843623354764,0.35603453405453317,0.0024240536592816803,0.04923467943717802,412.5321220390517
12,"谢丽华_2022","SOC","0-10","0_10",9.292382338670544,9.521033478893685,3,3,0.5100679281901428,0.3341824357108676,-0.024308440476536238,0.001414995366785784,0.037616424162668416,706.7160949590515
12,"谢丽华_2022","SOC","0-10","0_10",11.737190684133884,9.521033478893685,3,3,1.020135856380403,0.3341824357108676,0.20925908977917132,0.002928717828321244,0.054117629551942166,341.44634567721573
12,"谢丽华_2022","SOC","0-10","0_10",12.8628578360019,9.521033478893685,3,3,1.3367297428432974,0.3341824357108676,0.300840519252002,0.00401056055401106,0.06332898668075354,249.34170336859157
12,"谢丽华_2022","SOC","0-10","0_10",13.970936438622,9.521033478893685,3,3,1.8292091217855244,0.3341824357108676,0.38347580151703764,0.006124842381326103,0.07826137221724458,163.2695076446176
12,"谢丽华_2022","SOC","0-10","0_10",9.204439592430848,8.799902959728257,3,3,0.45730228044633736,0.49247937894228594,0.04494523793314651,0.0018667899453972542,0.0432063646399145,535.6789083129539
12,"谢丽华_2022","SOC","0-10","0_10",10.68187772925759,8.799902959728257,3,3,2.4799854439592863,0.49247937894228594,0.1938079413044542,0.019011254581735363,0.13788130613587674,52.60042127681187
